Podejście,Metoda,Czas Samplera (s),Czas Modelu (s),Czas Całkowity (s),Recall (Czułość),Precision (Precyzja),F1-Score,ROC-AUC,Avg Precision (PR-AUC),Accuracy,Fałszywe Alarmy (FP),Przegapione Oszustwa (FN)
Data-Level,Model bazowy,0.0,32.41,32.41,0.9954774743433641,0.9987783595113437,0.9971251851206551,0.9988860999060203,0.996877370043575,0.9999925906533562,7,26
Data-Level,RUS (0.25),0.53,23.06,23.59,0.9930422682205601,0.9734015345268542,0.9831238160840365,0.9998627644134478,0.9714050127513292,0.9999559929714489,156,40
Data-Level,ROS (0.25),2.5,20.74,23.25,0.995303531048878,0.99357527348498,0.994438651372958,0.9992444961959392,0.997068499262372,0.9999856303580241,37,27
Data-Level,SMOTE (0.25),1.08,20.94,22.02,0.9937380413985041,0.9979039301310043,0.995816628900122,0.998590191726492,0.9942856719556348,0.9999892227685181,12,36
Data-Level,Borderline-SMOTE (0.25),5.4,27.52,32.92,0.9944338145764481,0.9972091400662829,0.9958195436335133,0.9990926162755654,0.9967471598844234,0.9999892227685181,16,32
Data-Level,ADASYN (0.25),5.16,20.9,26.06,0.9932162115150461,0.9982517482517482,0.9957276135670067,0.9981349126131619,0.9963996907358439,0.9999889982428622,10,39
Data-Level,Cluster Centroids (0.25),279.28,26.94,306.22,0.9947817011654201,0.9771057577310781,0.9858645061196345,0.9999302893725476,0.9967307805356539,0.9999631777924368,134,30
Data-Level,RUS (0.5),0.55,28.34,28.89,0.9951295877543921,0.9838349097162511,0.9894500172950537,0.9999484840292076,0.9847936818842508,0.9999726078699834,94,28
Data-Level,ROS (0.5),2.77,19.56,22.33,0.9965211341102801,0.9761458510819561,0.9862282664830435,0.9991748026574633,0.9968794588724608,0.9999640758950603,140,20
Data-Level,SMOTE (0.5),1.57,19.83,21.4,0.9940859279874761,0.9965126416739319,0.9952978056426333,0.9987009134728357,0.9962259173783841,0.9999878756145828,20,34
Data-Level,Borderline-SMOTE (0.5),5.8,50.4,56.2,0.9951295877543921,0.998952331063384,0.997037295224817,0.9986614592105335,0.9965271499303393,0.9999923661277003,6,28
Data-Level,ADASYN (0.5),5.38,19.63,25.01,0.995999304226822,0.9944425147620701,0.9952203006865387,0.9985915211080791,0.9960273776364921,0.999987651088927,32,23
Data-Level,Cluster Centroids (0.5),106.33,22.69,129.02,0.9935640981040181,0.9833017731106903,0.9884062986675896,0.9999216192197463,0.9944271049268316,0.999969913562113,97,37
Data-Level,RUS (0.75),0.56,25.81,26.38,0.9939119846929901,0.9777549623545517,0.9857672733546106,0.9999329567388673,0.974035953185217,0.999962953266781,130,35
Data-Level,ROS (0.75),3.55,18.36,21.92,0.996347190815794,0.9880972917026047,0.9922050926727871,0.9992077209924146,0.9974783519931625,0.9999797926909714,69,21
Data-Level,SMOTE (0.75),1.38,918.65,920.03,0.9961732475213081,0.987924788683802,0.9920318725099602,0.9981514525915526,0.9957611252274783,0.9999793436396597,70,22
Data-Level,Borderline-SMOTE (0.75),5.64,21.12,26.76,0.9932162115150461,0.995640802092415,0.9944270289097875,0.9975999075394869,0.9938099312245934,0.9999856303580241,25,39
Data-Level,ADASYN (0.75),5.42,17.73,23.15,0.995999304226822,0.9880931837791199,0.992030492030492,0.9978619963609384,0.995600594954063,0.9999793436396597,69,23
Data-Level,Cluster Centroids (0.75),348.2,15.87,364.08,0.9919986084536441,0.9767083404692585,0.9842940973420781,0.9998891193887439,0.9807640802774614,0.999959136330631,136,46
Data-Level,RUS (1.0),0.56,25.7,26.26,0.9939119846929901,0.9457133399536577,0.9692138071410398,0.9998856702701868,0.9411572507035217,0.999918497186918,328,35
Data-Level,ROS (1.0),4.09,343.68,347.78,0.998956340233084,0.8913549588700915,0.9420931758530183,0.9999083832404816,0.998447042793383,0.9998414848869536,700,6
Data-Level,SMOTE (1.0),2.16,42.85,45.01,0.996347190815794,0.9879268713349431,0.9921191651511215,0.9989758053984387,0.9960609835718605,0.9999795681653155,70,21
Data-Level,Borderline-SMOTE (1.0),5.74,89.23,94.98,0.9932162115150461,0.9954672245467224,0.9943404440574662,0.9981743825957583,0.9953793765342694,0.9999854058323683,26,39
Data-Level,ADASYN (1.0),5.86,98.86,104.72,0.9961732475213081,0.9954806188075787,0.9958268127282212,0.9994559973847126,0.9969095554041769,0.9999892227685181,26,22
Data-Level,Cluster Centroids (1.0),37.48,26.61,64.09,0.9935640981040181,0.9809376609994848,0.9872105081230557,0.9999131067782541,0.9763598214590802,0.9999667702029308,111,37
Algorithm-Level,Wewnętrzne Wagi,0.0,19.51,19.51,0.998086623760654,0.9003608975364821,0.9467084639498433,0.9994218788717855,0.9977163859885172,0.999854956426306,635,11
