Podejście,Metoda,Czas Samplera (s),Czas Modelu (s),Czas Całkowity (s),Recall (Czułość),Precision,F1-Score,ROC-AUC,PR-AUC,Accuracy,FP (Fałszywe Alarmy),FN (Przegapione)
Data-Level,Model bazowy,0.0,177.66,177.66,0.9925204383371021,0.9987747243129704,0.9956377595533066,0.9999998469813164,0.9998843288597408,0.9999887737172063,7,43
Data-Level,RUS (0.25),0.88,0.48,1.35,0.9937380413985041,0.9826281389748882,0.9881518637031912,0.9999766151435534,0.9973106686564407,0.9999692399851454,101,36
Data-Level,ROS (0.25),1.84,214.11,215.95,1.0,0.9972246313963573,0.9986103873545249,0.9999999994916323,0.9999996064787445,0.999996407589506,16,0
Data-Level,SMOTE (0.25),0.96,107.46,108.42,0.9961732475213081,0.9977351916376307,0.9969536077987641,0.9999996921246879,0.9997766468274005,0.9999921416020444,13,22
Data-Level,Borderline-SMOTE (0.25),4.9,112.88,117.79,0.9933901548095321,0.9982520538367419,0.9958151700087184,0.9999998446741091,0.9998826413996582,0.9999892227685181,10,38
Data-Level,ADASYN (0.25),4.87,108.91,113.78,0.995999304226822,0.9979086789822238,0.9969530773918343,0.9999997177386,0.9997938802569555,0.9999921416020444,12,23
Data-Level,Cluster Centroids (0.25),248.6,0.28,248.89,0.9937380413985041,0.9914960083304408,0.992615758839371,0.9999799624712509,0.9974226180204054,0.9999809153192508,49,36
Data-Level,RUS (0.5),0.61,0.17,0.78,0.9951295877543921,0.9264777327935223,0.9595773230459578,0.9999493289754628,0.9967099508278929,0.9998917786338691,454,28
Data-Level,ROS (0.5),1.15,121.73,122.88,1.0,0.998263587428373,0.9991310392770246,0.999999999804474,0.9999998486923234,0.9999977547434412,10,0
Data-Level,SMOTE (0.5),1.04,137.81,138.85,0.996347190815794,0.9972144846796658,0.9967806490907509,0.9999996688961937,0.9997604183240913,0.9999916925507327,16,21
Data-Level,Borderline-SMOTE (0.5),5.13,131.54,136.67,0.9935640981040181,0.9984268484530676,0.9959895379250218,0.9999998508527321,0.9998871734606856,0.9999896718198298,9,37
Data-Level,ADASYN (0.5),5.13,121.47,126.6,0.9958253609323361,0.997908314450061,0.9968657496082187,0.9999994861575511,0.9996564758153133,0.9999919170763886,12,24
Data-Level,Cluster Centroids (0.5),1446.11,0.3,1446.42,0.994259871281962,0.9666835785557246,0.9802778254158806,0.9999660946495684,0.9969702165174542,0.9999483590991491,197,33
Data-Level,RUS (0.75),0.48,0.15,0.63,0.9954774743433641,0.9120318725099602,0.9519294743845642,0.9999385491161779,0.9967312984706802,0.9998702241709053,552,26
Data-Level,ROS (0.75),1.32,138.75,140.06,1.0,0.9973976405274115,0.9986971249891428,0.9999999999217898,0.9999999394927226,0.9999966321151619,15,0
Data-Level,SMOTE (0.75),1.11,167.36,168.47,0.996347190815794,0.9973881246735156,0.9968673860076575,0.9999996804322304,0.9997684497778013,0.9999919170763886,15,21
Data-Level,Borderline-SMOTE (0.75),5.14,170.36,175.5,0.9935640981040181,0.9982523593149248,0.9959027111847267,0.9999995536922472,0.9996967968316115,0.9999894472941739,10,37
Data-Level,ADASYN (0.75),5.09,1074.79,1079.88,0.9958253609323361,0.9973867595818815,0.9966054486900513,0.9999996038642308,0.9997178667738263,0.9999912434994209,15,24
Data-Level,Cluster Centroids (0.75),58.8,0.18,58.98,0.994607757870934,0.926742301458671,0.9594764661464888,0.9999491642643218,0.9966186577644245,0.9998915541082133,452,31
Data-Level,RUS (1.0),0.5,0.13,0.63,0.995303531048878,0.8982731554160126,0.9443023351761697,0.9999176218461563,0.9963079540903013,0.9998484451822857,648,27
Data-Level,ROS (1.0),1.6,167.84,169.44,1.0,0.9972246313963573,0.9986103873545249,0.9999999997653688,0.9999998184939499,0.999996407589506,16,0
Data-Level,SMOTE (1.0),1.59,212.15,213.74,0.9961732475213081,0.99721399965175,0.9966933518969718,0.9999996639689372,0.999757708332191,0.9999914680250768,16,22
Data-Level,Borderline-SMOTE (1.0),5.43,202.79,208.21,0.9935640981040181,0.9982523593149248,0.9959027111847267,0.9999998463947383,0.9998838690941851,0.9999894472941739,10,37
Data-Level,ADASYN (1.0),5.52,180.01,185.53,0.995999304226822,0.9972135144548938,0.9966060395091811,0.9999996760133418,0.999765581009065,0.9999912434994209,16,23
Data-Level,Cluster Centroids (1.0),45.15,0.16,45.31,0.995303531048878,0.8762633996937212,0.9319977196840133,0.9999186420815119,0.9963392411275553,0.999812521077346,808,27
Algorithm-Level,Wewnętrzne Wagi (balanced_subsample),0.0,102.79,102.79,1.0,0.9986103873545249,0.9993047105857813,0.9999999930001675,0.9999945752711326,0.999998203794753,8,0
