Podejście,Metoda,Próg odcięcia (Threshold),Czas Samplera (s),Czas Modelu (s),Czas Całkowity (s),Recall (Czułość),Precision (Precyzja),F1-Score,ROC-AUC,Avg Precision (PR-AUC),Accuracy,Fałszywe Alarmy (FP),Przegapione Oszustwa (FN)
Data-Level,Brak (Baseline),0.9987,0.0,23.99,23.99,0.0,0.0,0.0,0.37457396797081155,0.0012254411897586225,0.9987040379143004,23,5749
Data-Level,RUS (0.25),0.8,0.69,0.18,0.87,0.26943816315881025,0.02752163175381554,0.04994196543719371,0.8794823273835115,0.01973733838039515,0.9867678049967735,54734,4200
Data-Level,ROS (0.25),0.8,1.4,18.84,20.24,0.013741520264393807,0.08690869086908691,0.02373085010513668,0.9135758481322593,0.010255949120437289,0.9985405832368247,830,5670
Data-Level,SMOTE (0.25),0.8,1.13,20.87,22.0,0.013741520264393807,0.08662280701754387,0.023720162137817146,0.9154377701088331,0.010375173733386884,0.9985399096598571,833,5670
Data-Level,Borderline-SMOTE (0.25),0.8,6.17,18.94,25.11,0.017568272743085755,0.08224755700325732,0.028952271750035834,0.9118457478411021,0.010086359613044965,0.9984788386814596,1127,5648
Data-Level,ADASYN (0.25),0.8001,5.43,23.31,28.75,0.03635414854757349,0.034551165481897836,0.03542973385319546,0.9095536851634363,0.009897276626443532,0.9974448980361639,5840,5540
Data-Level,Cluster Centroids (0.25),0.8,312.2,0.13,312.33,0.0,0.0,0.0,0.8587846136212922,0.035869911005596854,0.9987092020043854,0,5749
Data-Level,RUS (0.5),0.6667,0.71,0.28,0.99,0.08975473995477475,0.007823278802856406,0.01439210107940758,0.9132761140554834,0.010226054205453881,0.9841318737968231,65441,5233
Data-Level,ROS (0.5),0.6667,1.4,44.44,45.85,0.6265437467385633,0.010848319293564194,0.021327364986885033,0.9310577690261155,0.02376302168797552,0.9257767577327759,328431,2147
Data-Level,SMOTE (0.5),0.6667,1.57,20.32,21.89,0.4538180553139676,0.015426824581216999,0.029839309201120833,0.9323033544847524,0.0228120927163876,0.9619087734298135,166512,3140
Data-Level,Borderline-SMOTE (0.5),0.6667,5.69,19.24,24.93,0.09879979126804661,0.005922465747711301,0.011175052874920073,0.9102702302073006,0.010042182624725572,0.9774309055972898,95338,5181
Data-Level,ADASYN (0.5),0.6666,5.43,22.45,27.89,0.3503217950947991,0.012074268139879257,0.023343958272964357,0.9232166654698224,0.01492416958647612,0.9621624874209501,164787,3735
Data-Level,Cluster Centroids (0.5),0.6667,117.47,0.33,117.8,0.0,0.0,0.0,0.8848776494388545,0.034510625546182117,0.9987092020043854,0,5749
Data-Level,RUS (0.75),0.5714,0.73,0.1,0.83,0.995303531048878,0.003981233514443973,0.007930743898788074,0.9368719687979581,0.026216107894269813,0.6785807463861473,1431521,27
Data-Level,ROS (0.75),0.5714,1.55,24.52,26.07,0.9902591755087842,0.00410544792145924,0.008176995395861806,0.913911667283828,0.01027580475846893,0.689917271276837,1381001,56
Data-Level,SMOTE (0.75),0.5714,1.9,25.75,27.65,0.9935640981040181,0.004098916499645866,0.008164152054473418,0.928969312742957,0.01856467701295607,0.6883889251373086,1387827,37
Data-Level,Borderline-SMOTE (0.75),0.5714,5.98,28.14,34.12,0.9906070620977562,0.004105010419302127,0.008176139455220742,0.9100636981956715,0.010045937500046197,0.6897755955879811,1381634,54
Data-Level,ADASYN (0.75),0.5714,5.97,23.26,29.23,0.9900852322142981,0.004203439997223307,0.008371339193662961,0.9108295684387454,0.010033078594596635,0.6972285002090334,1348437,57
Data-Level,Cluster Centroids (0.75),0.5714,68.73,0.06,68.79,0.06766394155505305,0.017218484419263456,0.027451395504745776,0.9154224673606041,0.01042830314635695,0.9938113993471692,22203,5360
Data-Level,RUS (auto),0.5,0.57,0.05,0.62,0.99739085058271,0.0022238494080852864,0.004437803991314783,0.9112771313121951,0.022011835613178855,0.4223644168148162,2572678,15
Data-Level,ROS (auto),0.5,1.72,31.23,32.96,0.997912680466168,0.0021040617523970058,0.004199269501313873,0.9133783384744982,0.010247762341572363,0.3890867957808935,2720894,12
Data-Level,SMOTE (auto),0.5,1.95,27.47,29.42,0.99739085058271,0.0021872139151663107,0.004364855982208682,0.9193520609474598,0.022718752381234903,0.4126676027889679,2615866,15
Data-Level,Borderline-SMOTE (auto),0.5,6.5,25.97,32.47,0.998086623760654,0.0020564369738623207,0.004104417291485158,0.910296852056097,0.01006487732584619,0.3748002282976869,2784525,11
Data-Level,ADASYN (auto),0.5,6.52,27.96,34.47,0.996695077404766,0.002701673057011431,0.005388739227811537,0.9105731748608573,0.010031962570571436,0.525084006274145,2115178,19
Data-Level,Cluster Centroids (auto),0.5,53.88,0.05,53.93,0.99739085058271,0.002067718315750756,0.004126881081193902,0.935523882563793,0.025754194902348176,0.3786508432959109,2767371,15
Algorithm-Level,Wewnętrzne Ważenie Klas,0.9987,0.0,19.95,19.95,0.0,0.0,0.0,0.9135075845539682,0.010255727904454212,0.9986474574490203,275,5749
